100740950;Eneida;Bolaños;Iglesias;M;U;18/05/1974;Heredia;Asexual;Partido Patria Nueva;Bachillerato Completo;213238
509610275;Katia;Obregón;Araya;F;V;13/06/1999;San José;Asexual;Partido Integración Nacional;Maestría Completa;538392
506460010;Osvaldo;Wade;Palma;M;S;01/07/1983;Cartago;Pansexual;Partido Alianza Demócrata Cristiana;Secundaria Completa;2752053
203770076;Deisi;Roldan;Zamora;M;U;11/08/1974;Guanacaste;Lithsexual;Partido Acción Democrática;Técnica Incompleta;2006441
201900659;Mauricio;Lí;Duarte;P;U;10/04/2016;Limón;Skoliosexual;Partido Renovación Costarricense;Maestría Completa;1091618
507480203;Humberto;Izaguirre;Matarrita;M;V;05/05/1960;Alajuela;Lithsexual;Partido Acción Ciudadana;Licenciatura Incompleta;1296535
206530880;Arelys;Gambóa;Herrera;M;V;22/03/1972;Cartago;Skoliosexual;Partido Acción Democrática;Licenciatura Incompleta;2252104
407060496;Susana;Zumbado;Elizondo;M;V;29/11/2000;Limón;Bisexual;Partido Patria Nueva;Secundaria Incompleta;70083
605800343;Ana;Ugarte;Sequeira;M;S;04/02/1982;Alajuela;Gynosexual;Partido Socialista;Maestría Incompleta;1741805
701780895;Morticia;Mora;Wong;M;C;21/05/2001;Guanacaste;Intersexual;Partido Unidad Social Cristiana;Primaria Incompleta;2568535
709530101;Pericles;Cordero;Barahona;M;S;06/01/2002;Puntarenas;Sapiosexual;Partido Nueva República;Licenciatura Completa;367316
506600241;Arturo;Gambóa;Iglesias;F;U;27/03/1989;San José;Bisexual;Partido Renovación Costarricense;Primaria Completa;2136043
603500365;Eduardo;Pomares;Ibanéz;M;D;13/09/1963;Guanacaste;Sapiosexual;Partido Unión Nacional;Licenciatura Completa;395858
500720000;Omar;Nicolas;Flores;F;S;27/09/2017;Cartago;Sapiosexual;Partido Frente Amplio;Primaria Completa;89884
502160381;Franklin;Ojeda;Hurtado;F;V;25/10/2008;Guanacaste;Skoliosexual;Partido Socialista;Primaria Completa;748899
100310836;Jael;Villagra;Almengor;F;D;28/12/1993;Cartago;Skoliosexual;Partido Liberación Nacional;Bachillerato Completo;2440786
402310088;Esgardo;Huertas;Ibarra;M;V;30/02/2016;Guanacaste;Autosexual;Partido de los Trabajadores;Primaria Incompleta;2341076
209140751;Rosaura;White;Herrera;F;D;02/11/2003;Alajuela;Intersexual;Partido Nueva República;Secundaria Completa;1421164
603980816;Jesús;Solano;Cruz;M;D;03/05/2003;Cartago;Autosexual;Partido Integración Nacional;Secundaria Completa;2563327
407650648;Ximena;Mora;Elizondo;F;S;15/07/1991;Heredia;Autosexual;Partido Renovación en Democracia;Secundaria Incompleta;2580259
402550664;Samuel;Reyes;Zamora;M;S;11/03/2017;Limón;Sapiosexual;Partido Frente Amplio;Maestría Completa;1738787
601750416;Keylor;Caballero;Cerdas;F;C;16/04/1969;Guanacaste;Demisexual;Partido de los Trabajadores;Bachillerato Incompleto;930230
707800736;Xavier;Vargas;Rueda;M;U;07/03/1987;Guanacaste;Heterosexual;Partido Liberación Nacional;Bachillerato Completo;1216889
302670386;Francisco;Acón;Vindas;F;U;10/03/1963;San José;Autosexual;Partido Restauración Nacional;Primaria Incompleta;1660416
506610105;Miguel;Barboza;Mendoza;M;D;18/10/2002;San José;Androsexual;Partido Socialista;Primaria Incompleta;2583973
307450448;Wendy;Aguero;Durán;F;D;23/06/2008;Puntarenas;Lithsexual;Partido Renovación Costarricense;Primaria Incompleta;2202435
604290041;Merlina;Infante;Sibaja;F;S;01/07/1983;Guanacaste;Pansexual;Partido Liberación Nacional;Primaria Incompleta;2210093
108800464;Zoe;Vargas;Torres;F;U;18/03/1962;San José;Asexual;Partido Accesibilidad Sin Exclusión;Maestría Incompleta;463442
108060186;Rosaura;Aragón;Obregón;F;C;30/12/2007;Cartago;Gynosexual;Partido Liberación Nacional;Bachillerato Completo;2061020
